                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0038,                 0.7185,                0.95015,                0.59696,                0.39938,                 0.4427,                0.28435,                 1.0935,                0.88184,                 1.0028,              0.0006733,              0.0006733,              0.0006733
                     36,                0.99214,                0.71029,                0.94447,                0.61563,                0.39031,                0.44802,                0.28482,                 1.0985,                0.88218,                 1.0032,              0.0006634,              0.0006634,              0.0006634
                     37,                0.99908,                0.71203,                0.94962,                0.59253,                0.40662,                0.44539,                0.28435,                  1.089,                0.87227,                0.99823,              0.0006535,              0.0006535,              0.0006535
                     38,                0.99639,                0.71074,                0.94606,                 0.5881,                0.39786,                0.44553,                0.28544,                 1.0921,                0.86409,                 1.0014,              0.0006436,              0.0006436,              0.0006436
                     39,                0.99608,                 0.7052,                0.94447,                0.59537,                0.40393,                0.45184,                0.28959,                 1.0885,                0.86194,                 0.9998,              0.0006337,              0.0006337,              0.0006337
                     40,                0.99575,                 0.7047,                0.94387,                0.62221,                0.40623,                0.46157,                0.29215,                 1.0861,                0.85747,                0.99231,              0.0006238,              0.0006238,              0.0006238
                     41,                0.98714,                0.69752,                0.94094,                0.58058,                0.40209,                0.44864,                0.28831,                 1.0813,                0.87259,                0.99164,              0.0006139,              0.0006139,              0.0006139
                     42,                0.98402,                 0.6953,                0.94167,                 0.6048,                0.40872,                0.45623,                0.28911,                 1.0852,                0.85311,                0.99544,               0.000604,               0.000604,               0.000604
                     43,                0.98228,                0.69228,                0.94091,                0.57989,                0.40118,                0.44146,                0.28392,                 1.0877,                0.87362,                0.99765,              0.0005941,              0.0005941,              0.0005941
                     44,                0.97928,                0.68865,                0.94147,                0.61087,                0.42024,                0.46466,                0.29766,                 1.0704,                0.83687,                0.99073,              0.0005842,              0.0005842,              0.0005842
                     45,                0.97873,                0.68728,                0.93962,                0.59738,                0.41609,                 0.4604,                0.29361,                 1.0719,                0.84775,                0.98811,              0.0005743,              0.0005743,              0.0005743
                     46,                0.97611,                0.68381,                0.93986,                0.60695,                0.40991,                0.45564,                0.29131,                 1.0815,                0.85562,                0.99804,              0.0005644,              0.0005644,              0.0005644
                     47,                0.96846,                0.67789,                0.93755,                0.60888,                0.41328,                0.45691,                0.29194,                 1.0796,                0.85163,                0.99439,              0.0005545,              0.0005545,              0.0005545
                     48,                 0.9692,                0.67437,                0.93646,                0.61349,                 0.4198,                0.47146,                0.30197,                 1.0646,                0.82808,                0.98598,              0.0005446,              0.0005446,              0.0005446
                     49,                0.97109,                0.67857,                0.93614,                0.60078,                  0.396,                0.45128,                0.28863,                 1.0793,                0.85606,                0.99354,              0.0005347,              0.0005347,              0.0005347
                     50,                0.96001,                0.67196,                0.93349,                0.61045,                0.41851,                0.46323,                0.29557,                 1.0717,                0.84444,                0.99441,              0.0005248,              0.0005248,              0.0005248
                     51,                0.95893,                 0.6629,                0.93272,                0.60736,                0.41577,                0.45824,                0.29511,                 1.0694,                0.83853,                0.99066,              0.0005149,              0.0005149,              0.0005149
                     52,                0.95714,                0.66698,                0.93024,                0.60679,                0.41603,                 0.4668,                0.29969,                 1.0658,                0.83992,                0.98546,               0.000505,               0.000505,               0.000505
                     53,                0.95606,                0.66027,                0.92888,                0.62975,                0.40463,                0.46067,                0.29689,                 1.0661,                0.84712,                0.98663,              0.0004951,              0.0004951,              0.0004951
                     54,                0.95953,                0.66172,                0.92941,                0.58079,                0.41854,                0.45966,                0.29567,                 1.0723,                0.85747,                0.99068,              0.0004852,              0.0004852,              0.0004852
                     55,                0.95599,                0.65917,                0.93087,                0.60467,                0.42157,                0.46412,                0.29758,                 1.0612,                0.83133,                0.98509,              0.0004753,              0.0004753,              0.0004753
                     56,                 0.9609,                0.66347,                0.93329,                0.57337,                0.43726,                0.46611,                0.29916,                  1.059,                0.83301,                0.98671,              0.0004654,              0.0004654,              0.0004654
                     57,                0.94757,                0.65459,                0.92818,                0.60564,                0.41644,                0.46086,                0.29484,                 1.0714,                0.83628,                0.99388,              0.0004555,              0.0004555,              0.0004555
                     58,                0.94944,                0.65407,                0.92705,                0.57728,                 0.4285,                0.46246,                0.29736,                 1.0642,                0.83325,                0.98928,              0.0004456,              0.0004456,              0.0004456
                     59,                0.94242,                0.64498,                0.92735,                0.60678,                0.41759,                0.46352,                0.29806,                 1.0626,                0.82996,                0.98906,              0.0004357,              0.0004357,              0.0004357
                     60,                0.94164,                0.64698,                0.92727,                0.58545,                0.42561,                0.45965,                0.29495,                 1.0658,                0.83423,                0.99256,              0.0004258,              0.0004258,              0.0004258
                     61,                0.94441,                0.64751,                0.92782,                0.59295,                0.41708,                0.46177,                0.29822,                 1.0615,                0.82464,                0.99026,              0.0004159,              0.0004159,              0.0004159
                     62,                0.93891,                0.64013,                0.92683,                0.62782,                0.40349,                0.46577,                0.29866,                 1.0665,                0.82867,                0.99033,               0.000406,               0.000406,               0.000406
                     63,                0.94202,                0.64616,                0.92483,                0.58928,                0.42071,                0.46102,                0.29521,                  1.063,                0.83807,                0.98649,              0.0003961,              0.0003961,              0.0003961
